City_ID,City,Country,MaxTemp,Current Description,Lat,Lon,Hotel Name
765,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
769,Carnarvon,AU,63.54,clear sky,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
770,Port Hardy,CA,68.18,scattered clouds,50.6996,-127.4199,Quarterdeck Inn Resort & Marina
771,Ahipara,NZ,55.81,clear sky,-35.1667,173.1667,Ahipara Bay Motel
776,Carnarvon,AU,63.54,clear sky,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
779,Chui,UY,51.3,few clouds,-33.6971,-53.4616,Hotel Internacional
781,Rumphi,MW,57.11,broken clouds,-11.0186,33.8575,Lunyina Hotel
788,Laas,IT,65.28,overcast clouds,46.6166,10.7002,Gasthof Hotel Sonne Silandro
789,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
790,Markova,UA,52.83,clear sky,48.6758,24.4138,Vas.VOM
796,Chui,UY,51.3,few clouds,-33.6971,-53.4616,Hotel Internacional
797,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Torre Praia
798,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
801,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
805,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
806,Port Elizabeth,ZA,57.49,clear sky,-33.918,25.5701,Kingsworth Inn
814,Dorogobuzh,RU,54.86,clear sky,54.915,33.2972,Hotel Dnepr
816,Barranca,PE,61.11,scattered clouds,-10.75,-77.7667,Hotel Chavin
817,Los Llanos de Aridane,ES,69.55,clear sky,28.6585,-17.9182,Hotel Hacienda de Abajo
820,São João da Barra,BR,66.94,clear sky,-21.6403,-41.0511,Pousada Porto Prime
827,Labé,GN,65.44,overcast clouds,11.3182,-12.2833,Hôtel Djamtum
829,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
831,Yar-Sale,RU,56.17,overcast clouds,66.8333,70.8333,Yalemd
836,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
841,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
843,Benguela,AO,68.27,overcast clouds,-12.5763,13.4055,"Aparthotel Mil Cidades, llc"
846,Saint-Philippe,RE,64.22,light rain,-21.3585,55.7679,Hôtel Les Embruns Du Baril
849,Huarmey,PE,62.53,scattered clouds,-10.0681,-78.1522,Hotel Miramar
850,Iskateley,RU,54.32,broken clouds,67.6803,53.1512,Hotel North Palmyra
852,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
854,Muros,ES,63.09,clear sky,42.7762,-9.0603,A Casa da Fonte
861,Busselton,AU,53.82,clear sky,-33.65,115.3333,Esplanade Hotel
862,Yellowknife,CA,64.92,scattered clouds,62.456,-114.3525,The Explorer Hotel
870,Torbay,CA,58.26,light intensity drizzle,47.6666,-52.7314,See The Sea
872,Bonavista,CA,57.63,overcast clouds,48.6499,-53.1147,Russelltown Inn
879,Hermanus,ZA,51.8,moderate rain,-34.4187,19.2345,Harbour House Hotel
880,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
889,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
899,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
907,Puerto Ayora,EC,68.56,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
908,Kenai,US,62.69,light rain,60.5544,-151.2583,Aspen Extended Stay Suites
915,Cape Town,ZA,54.27,moderate rain,-33.9258,18.4232,The Bay Hotel
920,Port Alfred,ZA,61.95,overcast clouds,-33.5906,26.891,Royal St Andrews Hotel
922,Pisco,PE,60.85,few clouds,-13.7,-76.2167,PiscoMar Peru
925,Camapuã,BR,59.36,clear sky,-19.5314,-54.0439,COLLINA HOTEL
